audio_path,n_diarizers_fn,pct_diarizers,diarizers,#_adults,#_children,#_people_interacting,has_interaction,n_children_cat,n_adults_cat,Context,Location,child_id,timepoint_norm,task
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-N3L7A1I2B9/ses-01/beh/sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-26_audio.wav,5,0.455,"BabAR, TalkNet-ASD, VTC, VTC-KCHI, Whisper-MIL",0.0,1.0,2.0,True,1,0,general social communication interaction,inside private,N3L7A1I2B9,14_month,generalsocialcommunicationinteraction
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-D4Y7P4G2V4/ses-01/beh/sub-D4Y7P4G2V4_ses-01_task-motorplay_run-01_audio.wav,5,0.455,"BabAR, TalkNet-ASD, VTC-KCHI, WavLM-MIL, Whisper-MIL",0.0,4.0,2.0,True,2+,0,motor play,outside private,D4Y7P4G2V4,14_month,motorplay
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-C0O6X3N5Y7/ses-01/beh/sub-C0O6X3N5Y7_ses-01_task-toyplay_run-04_audio.wav,5,0.455,"BabAR, TalkNet-ASD, VTC, VTC-KCHI, Whisper-MIL",0.0,1.0,1.0,True,1,0,toy play,inside private,C0O6X3N5Y7,14_month,toyplay
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-M5O1K4W9O1/ses-01/beh/sub-M5O1K4W9O1_ses-01_task-generalsocialcommunicationinteraction_run-02_audio.wav,5,0.455,"BabAR, TalkNet-ASD, VTC, VTC-KCHI, Whisper-MIL",0.0,1.0,1.0,True,1,0,general social communication interaction,inside private,M5O1K4W9O1,14_month,generalsocialcommunicationinteraction
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-B1S3L8Q7Y6/ses-02/beh/sub-B1S3L8Q7Y6_ses-02_task-motorplay_run-20_audio.wav,5,0.455,"BabAR, EEND-EDA, TalkNet-ASD, VTC, VTC-KCHI",0.0,1.0,1.0,True,1,0,motor play,inside private,B1S3L8Q7Y6,36_month,motorplay
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-E7Z4G3O5K2/ses-01/beh/sub-E7Z4G3O5K2 2_ses-01_task-unknown_run-01_audio.wav,5,0.455,"BabAR, TalkNet-ASD, USC-SAIL, VTC, VTC-KCHI",0.0,1.0,1.0,True,1,0,general social communication interaction,inside private,E7Z4G3O5K2,14_month,unknown
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-H7C3T0K5E5/ses-01/beh/sub-H7C3T0K5E5 2_ses-01_task-unknown_run-04_audio.wav,5,0.455,"BabAR, TalkNet-ASD, USC-SAIL, VTC, VTC-KCHI",0.0,2.0,0.0,False,2+,0,other,inside private,H7C3T0K5E5,14_month,unknown
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-I8T4E2J3M6/ses-02/beh/sub-I8T4E2J3M6_ses-02_task-motorplay_run-02_audio.wav,4,0.364,"BabAR, TalkNet-ASD, VTC, VTC-KCHI",2.0,1.0,3.0,True,1,2+,motor play,outside private,I8T4E2J3M6,36_month,motorplay
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-G3D3S2N7W8/ses-01/beh/sub-G3D3S2N7W8_ses-01_task-motorplay_run-02_audio.wav,4,0.364,"BabAR, TalkNet-ASD, VTC, VTC-KCHI",0.0,1.0,1.0,True,1,0,motor play,outside public,G3D3S2N7W8,14_month,motorplay
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-E7G3N4A1K5/ses-02/beh/sub-E7G3N4A1K5_ses-02_task-toyplay_run-02_audio.wav,4,0.364,"Pyannote, Sortformer, TalkNet-ASD, VBx",0.0,1.0,0.0,False,1,0,toy play,inside private,E7G3N4A1K5,36_month,toyplay
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-E7G3N4A1K5/ses-02/beh/sub-E7G3N4A1K5_ses-02_task-toyplay_run-03_audio.wav,4,0.364,"Pyannote, Sortformer, TalkNet-ASD, VBx",0.0,1.0,1.0,True,1,0,toy play,outside private,E7G3N4A1K5,36_month,toyplay
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-N3L7A1I2B9/ses-02/beh/sub-N3L7A1I2B9_ses-02_task-motorplay_run-02_audio.wav,4,0.364,"Pyannote, Sortformer, TalkNet-ASD, VBx",0.0,1.0,1.0,True,1,0,motor play,inside private,N3L7A1I2B9,36_month,motorplay
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-N3L7A1I2B9/ses-01/beh/sub-N3L7A1I2B9_ses-01_task-other_run-02_audio.wav,4,0.364,"Pyannote, Sortformer, TalkNet-ASD, Whisper-MIL",0.0,1.0,0.0,False,1,0,other,inside private,N3L7A1I2B9,14_month,other
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-E2P5Q8S5A7/ses-01/beh/sub-E2P5Q8S5A7_ses-01_task-generalsocialcommunicationinteraction_run-05_audio.wav,4,0.364,"BabAR, TalkNet-ASD, VTC-KCHI, Whisper-MIL",0.0,1.0,1.0,True,1,0,general social communication interaction,inside private,E2P5Q8S5A7,14_month,generalsocialcommunicationinteraction
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-A3G3T7I1A5/ses-01/beh/sub-A3G3T7I1A5_ses-01_task-motorplay_run-06_audio.wav,4,0.364,"BabAR, TalkNet-ASD, VTC, VTC-KCHI",1.0,1.0,2.0,True,1,1,motor play,inside private,A3G3T7I1A5,14_month,motorplay
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-D8G5K7I0D6/ses-02/beh/sub-D8G5K7I0D6_ses-02_task-motorplay_run-04_audio.wav,4,0.364,"BabAR, TalkNet-ASD, VTC, VTC-KCHI",0.0,1.0,2.0,True,1,0,motor play,inside private,D8G5K7I0D6,36_month,motorplay
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-S7F0B6H3A3/ses-02/beh/sub-S7F0B6H3A3_ses-02_task-toyplay_run-01_audio.wav,4,0.364,"BabAR, TalkNet-ASD, VTC, VTC-KCHI",1.0,1.0,2.0,True,1,1,toy play,inside private,S7F0B6H3A3,36_month,toyplay
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-S4C2W1M7Q0/ses-02/beh/sub-S4C2W1M7Q0_ses-02_task-generalsocialcommunicationinteraction_run-04_audio.wav,4,0.364,"BabAR, EEND-EDA, TalkNet-ASD, VTC-KCHI",0.0,1.0,1.0,True,1,0,general social communication interaction,inside private,S4C2W1M7Q0,36_month,generalsocialcommunicationinteraction
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-S4C2W1M7Q0/ses-02/beh/sub-S4C2W1M7Q0_ses-02_task-generalsocialcommunicationinteraction_run-02_audio.wav,4,0.364,"BabAR, EEND-EDA, TalkNet-ASD, VTC-KCHI",0.0,2.0,2.0,True,2+,0,general social communication interaction,inside public,S4C2W1M7Q0,36_month,generalsocialcommunicationinteraction
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-J3J0V4T8C3/ses-02/beh/sub-J3J0V4T8C3_ses-02_task-specialoccasion_run-03_audio.wav,4,0.364,"BabAR, TalkNet-ASD, VTC, VTC-KCHI",1.0,1.0,1.0,True,1,1,special occasion,outside private,J3J0V4T8C3,36_month,specialoccasion
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-J3J0V4T8C3/ses-01/beh/sub-J3J0V4T8C3_ses-01_task-toyplay_run-01_audio.wav,4,0.364,"Pyannote, TalkNet-ASD, VBx, WavLM-MIL",0.0,1.0,0.0,False,1,0,toy play,inside private,J3J0V4T8C3,14_month,toyplay
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-G3A6S5R9F7/ses-02/beh/sub-G3A6S5R9F7_ses-02_task-generalsocialcommunicationinteraction_run-01_audio.wav,4,0.364,"Pyannote, TalkNet-ASD, VBx, Whisper-MIL",1.0,1.0,1.0,True,1,1,general social communication interaction,outside public,G3A6S5R9F7,36_month,generalsocialcommunicationinteraction
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-H7C3T0K5E5/ses-01/beh/sub-H7C3T0K5E5_ses-01_task-generalsocialcommunicationinteraction_run-01_audio.wav,4,0.364,"Pyannote, Sortformer, TalkNet-ASD, VBx",0.0,1.0,1.0,True,1,0,general social communication interaction,inside private,H7C3T0K5E5,14_month,generalsocialcommunicationinteraction
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-C0O6X3N5Y7/ses-01/beh/sub-C0O6X3N5Y7_ses-01_task-toyplay_run-01_audio.wav,4,0.364,"Pyannote, Sortformer, TalkNet-ASD, VBx",0.0,1.0,1.0,True,1,0,toy play,inside private,C0O6X3N5Y7,14_month,toyplay
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-B1S3L8Q7Y6/ses-01/beh/sub-B1S3L8Q7Y6_ses-01_task-other_run-06_audio.wav,4,0.364,"EEND-EDA, Pyannote, TalkNet-ASD, VBx",0.0,1.0,0.0,False,1,0,other,inside private,B1S3L8Q7Y6,14_month,other
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-R6R8Q6A7K0/ses-02/beh/sub-R6R8Q6A7K0_ses-02_task-motorplay_run-14_audio.wav,3,0.273,"BabAR, TalkNet-ASD, VTC-KCHI",0.0,1.0,0.0,True,1,0,motor play,outside public,R6R8Q6A7K0,36_month,motorplay
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-K6O1J5K7Z0/ses-02/beh/sub-K6O1J5K7Z0_ses-02_task-toyplay_run-05_audio.wav,3,0.273,"BabAR, TalkNet-ASD, VTC-KCHI",0.0,1.0,1.0,True,1,0,toy play,inside public,K6O1J5K7Z0,36_month,toyplay
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-S2C4T1Y7V7/ses-02/beh/sub-S2C4T1Y7V7_ses-02_task-motorplay_run-03_audio.wav,3,0.273,"BabAR, TalkNet-ASD, VTC-KCHI",0.0,2.0,1.0,True,2+,0,motor play,outside private,S2C4T1Y7V7,36_month,motorplay
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-S9B3J7I4R1/ses-02/beh/sub-S9B3J7I4R1_ses-02_task-generalsocialcommunicationinteraction_run-02_audio.wav,3,0.273,"BabAR, TalkNet-ASD, VTC-KCHI",2.0,2.0,1.0,True,2+,2+,general social communication interaction,inside private,S9B3J7I4R1,36_month,generalsocialcommunicationinteraction
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-C5U1P3X9F0/ses-01/beh/sub-C5U1P3X9F0_ses-01_task-dailyroutine_run-02_audio.wav,3,0.273,"Pyannote, TalkNet-ASD, Whisper-MIL",0.0,1.0,1.0,True,1,0,daily routine,inside private,C5U1P3X9F0,14_month,dailyroutine
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-B1S3L8Q7Y6/ses-02/beh/sub-B1S3L8Q7Y6_ses-02_task-other_run-02_audio.wav,3,0.273,"BabAR, TalkNet-ASD, VTC-KCHI",0.0,2.0,1.0,True,2+,0,other,outside private,B1S3L8Q7Y6,36_month,other
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-N2Z6J3E5Q5/ses-01/beh/sub-N2Z6J3E5Q5_ses-01_task-socialroutine_run-03_audio.wav,3,0.273,"Pyannote, Sortformer, TalkNet-ASD",0.0,1.0,1.0,True,1,0,social routine,inside private,N2Z6J3E5Q5,14_month,socialroutine
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-X1U1P0D1X3/ses-01/beh/sub-X1U1P0D1X3_ses-01_task-motorplay_run-02_audio.wav,3,0.273,"Pyannote, Sortformer, TalkNet-ASD",0.0,1.0,1.0,False,1,0,motor play,inside public,X1U1P0D1X3,14_month,motorplay
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-A4E8K1L5Y2/ses-02/beh/sub-A4E8K1L5Y2_ses-02_task-motorplay_run-01_audio.wav,3,0.273,"BabAR, TalkNet-ASD, VTC-KCHI",0.0,1.0,1.0,True,1,0,motor play,inside public,A4E8K1L5Y2,36_month,motorplay
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-I8T4E2J3M6/ses-01/beh/sub-I8T4E2J3M6_ses-01_task-toyplay_run-10_audio.wav,3,0.273,"TalkNet-ASD, WavLM-MIL, Whisper-MIL",0.0,1.0,0.0,False,1,0,toy play,inside private,I8T4E2J3M6,14_month,toyplay
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-U6O5F2B7T5/ses-02/beh/sub-U6O5F2B7T5_ses-02_task-dailyroutine_run-01_audio.wav,3,0.273,"BabAR, TalkNet-ASD, VTC-KCHI",0.0,1.0,1.0,True,1,0,daily routine,inside private,U6O5F2B7T5,36_month,dailyroutine
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-A1H3H9Y3T1/ses-02/beh/sub-A1H3H9Y3T1_ses-02_task-motorplay_run-01_audio.wav,3,0.273,"Pyannote, TalkNet-ASD, Whisper-MIL",1.0,1.0,2.0,True,1,1,motor play,inside public,A1H3H9Y3T1,36_month,motorplay
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-R4O0P4P3J4/ses-01/beh/sub-R4O0P4P3J4_ses-01_task-specialoccasion_run-01_audio.wav,3,0.273,"BabAR, TalkNet-ASD, VTC-KCHI",0.0,1.0,1.0,True,1,0,special occasion,outside public,R4O0P4P3J4,14_month,specialoccasion
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-C5U1P3X9F0/ses-01/beh/sub-C5U1P3X9F0_ses-01_task-dailyroutine_run-05_audio.wav,3,0.273,"EEND-EDA, Sortformer, TalkNet-ASD",0.0,1.0,0.0,False,1,0,daily routine,inside private,C5U1P3X9F0,14_month,dailyroutine
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-F3N4H0K1Z1/ses-02/beh/sub-F3N4H0K1Z1_ses-02_task-motorplay_run-07_audio.wav,3,0.273,"Pyannote, TalkNet-ASD, VBx",0.0,1.0,0.0,False,1,0,motor play,inside private,F3N4H0K1Z1,36_month,motorplay
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-H3B5L5F8T1/ses-02/beh/sub-H3B5L5F8T1_ses-02_task-dailyroutine_run-01_audio.wav,3,0.273,"EEND-EDA, TalkNet-ASD, VBx",0.0,1.0,1.0,True,1,0,daily routine,inside private,H3B5L5F8T1,36_month,dailyroutine
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-G3A6S5R9F7/ses-01/beh/sub-G3A6S5R9F7_ses-01_task-generalsocialcommunicationinteraction_run-03_audio.wav,3,0.273,"BabAR, VTC, VTC-KCHI",0.0,1.0,1.0,True,1,0,general social communication interaction,inside private,G3A6S5R9F7,14_month,generalsocialcommunicationinteraction
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-D4Y7P4G2V4/ses-01/beh/sub-D4Y7P4G2V4_ses-01_task-motorplay_run-03_audio.wav,3,0.273,"BabAR, TalkNet-ASD, VTC-KCHI",0.0,2.0,1.0,True,2+,0,motor play,outside private,D4Y7P4G2V4,14_month,motorplay
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-Z1J6X4Y3Z4/ses-01/beh/sub-Z1J6X4Y3Z4_ses-01_task-motorplay_run-03_audio.wav,3,0.273,"Pyannote, Sortformer, TalkNet-ASD",0.0,1.0,0.0,False,1,0,motor play,inside private,Z1J6X4Y3Z4,14_month,motorplay
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-G8Q8I6N0I3/ses-01/beh/sub-G8Q8I6N0I3_ses-01_task-generalsocialcommunicationinteraction_run-06_audio.wav,3,0.273,"BabAR, VTC, VTC-KCHI",1.0,1.0,1.0,True,1,1,general social communication interaction,inside public,G8Q8I6N0I3,14_month,generalsocialcommunicationinteraction
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-C5U1P3X9F0/ses-02/beh/sub-C5U1P3X9F0_ses-02_task-generalsocialcommunicationinteraction_run-02_audio.wav,3,0.273,"BabAR, TalkNet-ASD, VTC-KCHI",1.0,0.0,3.0,True,0,1,general social communication interaction,outside private,C5U1P3X9F0,36_month,generalsocialcommunicationinteraction
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-C5U1P3X9F0/ses-01/beh/sub-C5U1P3X9F0_ses-01_task-toyplay_run-04_audio.wav,3,0.273,"Pyannote, TalkNet-ASD, Whisper-MIL",0.0,1.0,1.0,True,1,0,toy play,outside private,C5U1P3X9F0,14_month,toyplay
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-R6R8Q6A7K0/ses-01/beh/sub-R6R8Q6A7K0_ses-01_task-toyplay_run-06_audio.wav,2,0.182,"Sortformer, TalkNet-ASD",0.0,1.0,0.0,False,1,0,toy play,inside private,R6R8Q6A7K0,14_month,toyplay
